Frequency,Angle_of_attack,Chord_length,Free_stream_velocity,Suction_side_displacement_thickness,Scaled_SPL
800,0.0,0.3048,71.3,0.00266337,126.201
1000,0.0,0.3048,71.3,0.00266337,125.201
1250,0.0,0.3048,71.3,0.00266337,125.951
2000,0.0,0.3048,71.3,0.00266337,127.461
4000,0.0,0.3048,71.3,0.00266337,123.061
6300,0.0,0.3048,71.3,0.00266337,119.541
8000,0.0,0.3048,71.3,0.00266337,117.151
12500,0.0,0.3048,71.3,0.00266337,112.241
16000,0.0,0.3048,71.3,0.00266337,108.721
500,0.0,0.3048,55.5,0.00283081,126.416
1250,0.0,0.3048,55.5,0.00283081,126.086
1600,0.0,0.3048,55.5,0.00283081,126.986
2000,0.0,0.3048,55.5,0.00283081,126.616
2500,0.0,0.3048,55.5,0.00283081,124.106
3150,0.0,0.3048,55.5,0.00283081,123.236
4000,0.0,0.3048,55.5,0.00283081,121.106
5000,0.0,0.3048,55.5,0.00283081,119.606
6300,0.0,0.3048,55.5,0.00283081,117.976
8000,0.0,0.3048,55.5,0.00283081,116.476
200,0.0,0.3048,39.6,0.00310138,118.129
315,0.0,0.3048,39.6,0.00310138,122.779
400,0.0,0.3048,39.6,0.00310138,124.809
630,0.0,0.3048,39.6,0.00310138,128.629
800,0.0,0.3048,39.6,0.00310138,129.099
1000,0.0,0.3048,39.6,0.00310138,127.899
2500,0.0,0.3048,39.6,0.00310138,121.399
4000,0.0,0.3048,39.6,0.00310138,119.229
5000,0.0,0.3048,39.6,0.00310138,117.789
6300,0.0,0.3048,39.6,0.00310138,116.229
10000,0.0,0.3048,39.6,0.00310138,112.139
12500,0.0,0.3048,39.6,0.00310138,109.619
200,0.0,0.3048,31.7,0.00331266,117.195
250,0.0,0.3048,31.7,0.00331266,118.595
315,0.0,0.3048,31.7,0.00331266,122.765
400,0.0,0.3048,31.7,0.00331266,125.045
500,0.0,0.3048,31.7,0.00331266,127.315
800,0.0,0.3048,31.7,0.00331266,129.235
1000,0.0,0.3048,31.7,0.00331266,127.365
1250,0.0,0.3048,31.7,0.00331266,124.355
1600,0.0,0.3048,31.7,0.00331266,122.365
2000,0.0,0.3048,31.7,0.00331266,122.375
2500,0.0,0.3048,31.7,0.00331266,120.755
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,0.0,0.3048,31.7,0.00331266,118.145
5000,0.0,0.3048,31.7,0.00331266,115.645
6300,0.0,0.3048,31.7,0.00331266,113.775
8000,0.0,0.3048,31.7,0.00331266,110.515
10000,0.0,0.3048,31.7,0.00331266,108.265
800,1.5,0.3048,71.3,0.00336729,127.122
1000,1.5,0.3048,71.3,0.00336729,125.992
1250,1.5,0.3048,71.3,0.00336729,125.872
1600,1.5,0.3048,71.3,0.00336729,126.632
2000,1.5,0.3048,71.3,0.00336729,126.642
2500,1.5,0.3048,71.3,0.00336729,124.512
3150,1.5,0.3048,71.3,0.00336729,123.392
4000,1.5,0.3048,71.3,0.00336729,121.762
5000,1.5,0.3048,71.3,0.00336729,119.632
6300,1.5,0.3048,71.3,0.00336729,118.122
8000,1.5,0.3048,71.3,0.00336729,115.372
10000,1.5,0.3048,71.3,0.00336729,113.492
12500,1.5,0.3048,71.3,0.00336729,109.222
16000,1.5,0.3048,71.3,0.00336729,106.582
315,1.5,0.3048,39.6,0.00392107,121.851
400,1.5,0.3048,39.6,0.00392107,124.001
630,1.5,0.3048,39.6,0.00392107,128.311
800,1.5,0.3048,39.6,0.00392107,128.831
1000,1.5,0.3048,39.6,0.00392107,127.581
1250,1.5,0.3048,39.6,0.00392107,125.211
1600,1.5,0.3048,39.6,0.00392107,122.211
2000,1.5,0.3048,39.6,0.00392107,122.101
2500,1.5,0.3048,39.6,0.00392107,120.981
3150,1.5,0.3048,39.6,0.00392107,119.111
4000,1.5,0.3048,39.6,0.00392107,117.741
5000,1.5,0.3048,39.6,0.00392107,116.241
6300,1.5,0.3048,39.6,0.00392107,114.751
8000,1.5,0.3048,39.6,0.00392107,112.251
10000,1.5,0.3048,39.6,0.00392107,108.991
12500,1.5,0.3048,39.6,0.00392107,106.111
500,3.0,0.3048,71.3,0.00425727,128.454
630,3.0,0.3048,71.3,0.00425727,129.354
800,3.0,0.3048,71.3,0.00425727,129.494
1600,3.0,0.3048,71.3,0.00425727,126.514
2000,3.0,0.3048,71.3,0.00425727,125.524
2500,3.0,0.3048,71.3,0.00425727,124.024
4000,3.0,0.3048,71.3,0.00425727,120.264
5000,3.0,0.3048,71.3,0.00425727,118.134
6300,3.0,0.3048,71.3,0.00425727,116.134
8000,3.0,0.3048,71.3,0.00425727,114.634
10000,3.0,0.3048,71.3,0.00425727,110.224
400,3.0,0.3048,55.5,0.00452492,126.159
800,3.0,0.3048,55.5,0.00452492,129.949
1000,3.0,0.3048,55.5,0.00452492,129.329
1250,3.0,0.3048,55.5,0.00452492,127.329
1600,3.0,0.3048,55.5,0.00452492,124.439
2000,3.0,0.3048,55.5,0.00452492,123.069
2500,3.0,0.3048,55.5,0.00452492,122.439
4000,3.0,0.3048,55.5,0.00452492,118.689
5000,3.0,0.3048,55.5,0.00452492,117.309
6300,3.0,0.3048,55.5,0.00452492,115.679
8000,3.0,0.3048,55.5,0.00452492,113.799
10000,3.0,0.3048,55.5,0.00452492,112.169
400,3.0,0.3048,39.6,0.00495741,125.472
500,3.0,0.3048,39.6,0.00495741,127.632
630,3.0,0.3048,39.6,0.00495741,129.292
800,3.0,0.3048,39.6,0.00495741,129.552
1000,3.0,0.3048,39.6,0.00495741,128.312
1600,3.0,0.3048,39.6,0.00495741,122.782
2000,3.0,0.3048,39.6,0.00495741,120.532
2500,3.0,0.3048,39.6,0.00495741,120.162
3150,3.0,0.3048,39.6,0.00495741,118.922
5000,3.0,0.3048,39.6,0.00495741,115.792
400,3.0,0.3048,31.7,0.00529514,125.398
500,3.0,0.3048,31.7,0.00529514,127.548
630,3.0,0.3048,31.7,0.00529514,128.698
800,3.0,0.3048,31.7,0.00529514,128.708
1000,3.0,0.3048,31.7,0.00529514,126.838
1600,3.0,0.3048,31.7,0.00529514,122.088
2000,3.0,0.3048,31.7,0.00529514,120.088
2500,3.0,0.3048,31.7,0.00529514,119.598
3150,3.0,0.3048,31.7,0.00529514,118.108
5000,3.0,0.3048,31.7,0.00529514,113.858
6300,3.0,0.3048,31.7,0.00529514,109.718
250,4.0,0.3048,71.3,0.00497773,126.395
315,4.0,0.3048,71.3,0.00497773,128.175
400,4.0,0.3048,71.3,0.00497773,129.575
500,4.0,0.3048,71.3,0.00497773,130.715
630,4.0,0.3048,71.3,0.00497773,131.615
1000,4.0,0.3048,71.3,0.00497773,131.015
1250,4.0,0.3048,71.3,0.00497773,129.395
1600,4.0,0.3048,71.3,0.00497773,126.645
2500,4.0,0.3048,71.3,0.00497773,123.775
3150,4.0,0.3048,71.3,0.00497773,121.775
5000,4.0,0.3048,71.3,0.00497773,117.785
6300,4.0,0.3048,71.3,0.00497773,116.165
8000,4.0,0.3048,71.3,0.00497773,113.665
12500,4.0,0.3048,71.3,0.00497773,107.405
250,4.0,0.3048,39.6,0.00579636,123.543
315,4.0,0.3048,39.6,0.00579636,126.843
400,4.0,0.3048,39.6,0.00579636,128.633
500,4.0,0.3048,39.6,0.00579636,130.173
630,4.0,0.3048,39.6,0.00579636,131.073
800,4.0,0.3048,39.6,0.00579636,130.723
1000,4.0,0.3048,39.6,0.00579636,128.723
1250,4.0,0.3048,39.6,0.00579636,126.343
1600,4.0,0.3048,39.6,0.00579636,123.213
2000,4.0,0.3048,39.6,0.00579636,120.963
3150,4.0,0.3048,39.6,0.00579636,118.743
